Word,Meaning
stick,අනිනවා | අලවා තබනවා | ඇනහිටිනවා | ඇලවී තිබෙනවා | ඇලවී සිටිනවා | ඇලෙනවා | ඉන්න | ඉවසනවා | කෝටුව | දඩබ්බරයා | දණ්ඩ | නැවතී තිබෙනවා | නැවතී සිටිනවා | පොල්ල | යෂ්ටි | රිටි | රීට | රුස්සනවා | ලීය | වැලිමැක්කා | සැරයටිය | හැරමිටිය | හිර වෙනවා | හිරවී තිබෙනවා | හිරවී සිටිනවා
stick-in-the-mud,අප්‍රගතිශීලී | කිසි දියුණුවක් නැති | දියුණුවකට නොකැමැති
sticker,උත්සාහය අත්නොහරින්නා | දුෂ්කර ප්‍රශ්නය | ලේබලය | ස්ටිකරය
sticking,ඇලෙන
stickleback,කුඩා මාලුවෙක්
stickler,රීතියට වැඩ කරන්නා
sticky,ආශ්‍රය කිරීමට අමාරු | ඇලෙන | සවිවන
stiff,අප්‍රිය | උකු | දරදජු | දුෂ්කර | නුහුරු | පහසුවෙන් නොනැමෙන | යටහත් නොවන
stiff-frame,ස්තබ්ධ සැකිල්ල
stiff-necked,උඩඟු | බෙල්ල උළුක් වූ | මුරණ්ඩු | මුරන්ඩු
stiffen,උකු කරනවා | උකු වෙනවා | තද කරනවා | තද වෙනවා | දැඩි කරනවා | දැඩි වෙනවා | දුෂ්කර කරනවා | දුෂ්කර වෙනවා | මුරණ්ඩු කරනවා | මුරණ්ඩු වෙනවා
stiffener,තදයනය
stiffness,තදය | දැඩි බව | දැඩියාව | ස්තබ්ධතාව
stiffun,මළකඳ | මිනිය
stifle,මැඩ පවත්වනවා
stifling,හුස්ම ගැනීමට අමාරු
stigma,අපකීර්තිය | කලංකය | කැලල
stigmata,කලංකය
stigmatic,කෙලසන
stigmatize,අපකීර්තියට පමුණුවනවා | ගර්හා කරනවා
stilb,ස්ටිල්බය
stilboestrol,ස්ටිල්බිස්ට්‍රෝල්
stile,අංශ රේගලය | ඉඳි කඩුල්ල | ඉඳිකඩ | ඉඳිකඩුල්ල | කඩුල්ල | හිද්ද | හිදිදොර | හිදිවර
stiletto,කුඩා කිරිච්වය | හිල් කටුව
still,ආසවකය | එසේ උවත් | එසේද වුවත් | එහෙත් | ඒ වුණත් | ඒ වුණාට | තව දුරට | තවම | තවමත් | තාම | නිතරම | නිශ්චල | නිශ්චල කරනවා | නිශ්චලතාව | නිශ්චලව | නිශ්ශබ්ද | නිශ්ශබ්ද කරනවා | නිශ්ශබ්දභාවය | නිශ්ශබ්දව | නිසල | නිසොල්මන් | නිසොල්මන්ව | පෙරන යන්ත්‍රය | සන්සුන්බවට පමුණුවනවා | ස්ථාලිය
still-birth,මළ උපත | මළදරු උපත
still-born,උපන් ගෙයිදී මළ
stillicidium,වහල වතුර
stillness,නිසංසලතාව
stills,අචල රූප
stilly,නිශ්ශබ්ද | ශාන්ත | ශාන්ත ලෙස
stilt,බොරු කකුල | බොරු කුකුල | බොරුපා
stilted,අස්වාභාවික | උඩඟු | ගාඩ | සාටෝප
stilton,අනර්ඝ කේජු ජාතියක්
stilts,කරු | තෙපා
stimulant,උත්තේජකය | උත්තේජනය | ප්‍රබෝධකය | බල වඩන | මද්‍යපාන වර්ග | ශක්තිජනක ඖෂධය
stimulate,අවුස්සනවා | උත්තේජනය කරනවා | උනන්දු කරනවා | පොළඹවනවා | බලවඩනවා
stimulation,උත්තේජනය
stimulative,උනන්දු කරවන
stimulator,උත්තේජ කාරකය
stimuli,උත්තේජක
stimulus,උත්තේජකය | උත්තේජනය | උත්තේජය | උනන්දුව | උනන්දුව ඇතිකරන දේ | ප්‍රබෝධකය | ප්‍රෝත්සාහය
sting,අනිනවා | ඇනුම්පදය | දංශය | දෂ්ට කරනවා | දෂ්ට කිරීම | දළ | දළය | දැවිල්ල ඇති කරනවා | වේදනාව
stinger,කන හරහ පාර
stinginess,මසුරුකම
stingy,කැත | මසුරු | ලෝභී
stink,ගඳ ගසනවා | ගඳ ගහනවා | දුගඳ | පල් වෙනවා | හඩුගඳ
stinker,අප්‍රියංකර තැනැත්තා
stinking,දුඟද වහනය වන
stinks,රසායන ශාස්ත්‍රය
stint,උත්සාහය | කුම්මැහිකම් කරනවා | යන්තමින් දෙනවා | හිඟය
stipe,දණ්ඩ | බිඩංගය | වෘන්තය | හතු දණ්ඩ
stipel,උපපත්‍රිකාව
stipellate,උපපත්‍රිකා සහිත
stipend,දාතූලය | දිවෙල | පඩිය | වැටුප
stipendiary,දාතූලික | වැටුප් ලබන
stipitate,දජු සහිත | සවෘන්ත
stipple,තිත් යොදා කැටයම් කරනවා
stipples,තිත්‍රටා
stipular,උපපත්‍රවත්
stipulate,උපපත්‍රී | ගිවිසගන්නවා | නියම කරනවා | පොරොන්දු කරවාගන්නවා | සංවේදනය කරනවා | සම්ප්‍රතිඥාදෙනවා
stipulated,ගිවිසූ
stipulatio,ප්‍රශ්නොත්තර ගිවිසුම | සම්ප්‍රතිඥාය
stipulation,කොන්දේසිය | නියමය | පොරොන්දුව | සංවේදනය | සම්ප්‍රතිඥාව
stipulations,කොන්දේසි
stipulator,සංවේදකයා | සම්ප්‍රතිඥාකරු
stipule,උපපත්‍රය
stir,අලළනවා | උනන්දුව | කලතනවා | කලබලය | කලඹනවා | කළඹනවා | කැලතීම | පොළඹවනවා | මොලවනවා | සිපිරිගේ | සෙලවීම | සෙලවෙනවා | සොලවනවා | හලළනවා | හැඳිගානවා
stiring,උනන්දු ඇති කරන | ප්‍රබෝධවත්
stirred,කැලඹුවා
stirrer,මන්ථ දණ්ඩ | මන්ථය
stirring,ආලෝළනය | ඇලළීම
stirrup,උඩහලුව | පාපටිය
stirrup-bone,ධරණකය
stitch,ඇම්ම | ඇවිලිල්ල | ගෙත්තම | ගොතනවා | මසනවා | මහනවා | මැස්ම | මැහීම | මැහුම | මැහුම් ගැටේ
stitching,සිම්බනය
stiver,තඹේ
stmptomatic,නිමිති හෝ ලකුණු වශයෙන් දැක්වෙන
stoa,ආලින්දය | වරණ්ඩය
stoat,මුගටි වර්ගයේ සතෙක්
stochastic,ආනුමානික
stock,අල්ලුව | කඳ | කවුරුත් දන්නා | ග්‍රාහක කඳ | ගොවිපලක සතුන් ඇති කරනවා | තොග | තොගය | දජුකඳ | දළු පුරුද්දන කඳ | නිත්‍ය | පරම්පරාව | ප්‍රකට | පුරුදු | පෙළ | බඩු බාහිරාදිය | මල්ගස් වර්ගයක් | මුල් පෙළන්තිය | මොට්ටයා | රාශිය | ලී කොටය | ව්‍යාපාර වස්තුව | ව්‍යාපාරවස්තු | සංහතිය | සපයා දෙනවා | සම්භාරය | සාමාන්‍ය
stock-broker,ස්කන්ධ තැරැවුකරු
stock-in-trade,ව්‍යාපාර බඩු තොගය | වෙළඳ බඩු තොගය | වෙළෙන්දාගේ බඩුමුට්ටු ආදිය | සන්තක වස්තුව
stock-jobber,ව්‍යාපාරවස්තු ජාවාරම්කරු
stock-taking,තොග ගණන් ගැනීම
stockade,දජුවැට | ලොකු ඉනිවැට
stockbroker,ව්‍යාපාර වස්තු තැරැව්කාරයා
stockinet,පිළී විශේෂයක්
stocking,දිග මේස් කකුල | මේස්
stockings,දිග මේස්
stockist,වෙළෙන්දා
stockpile,සංචිතය
stocks,තොග | දඬුකඳ | නැව් මැස්ස | ව්‍යාපාර වස්තු
stocktaking,තොග ගණන් ගැනීම
stockturn,පිරිවැටුම
stockwork,ජාල නිධිය
stocky,කොට | තරබාරු | ශක්තිමත්
stockyard,තාවකාලික ගවගාල
stodge,බර නීරස ආහාර
stodgy,උනන්දුවක් නැති | නීරස | බර
stoic,ඉන්ද්‍රියයන් දමනය කළ | උදාසීන | උදාසීනයා | දැමුණු ඉන්ද්‍රිය ඇත්තා
stoical,ඉන්ද්‍රියයන් දමනය කළ | උදාසීන
stoichiometry,සංඛ්‍යා රසායන විද්‍යාව
stoicism,උදාසීනකම | ස්ටොයිකවාදය | සිල්වත්කම
stoke,ඉන්ධන යොදනවා
stoker,ඉන්ධන යොදන්නා | ගිනි පෙහෙණිය | ගිනි පෙහෙණියා
stoking,පෙහෙණීම
stole,පාදිලිපටිය
stolen,සොරකම් කරනලද | සොරෙන් ගත්
stolid,කිසි උනන්දුවක් නැති | ජඩ | දරදඬු | මෝඩ
stolidity,දරදඬුකම
stolon,ධාවකය
stoma,පූටිකාව
stomach,ආමාශය | ඉවසනවා | උඬඟුකම | උදරය | කැමැත්ත | කෑම බොක්ක | කුක්ෂිය | කුස | කේන්තිය | බඩ | රුවය | රුස්සනවා
stomach-ache,බඩ රිදීම | බඩේ කැක්කුම
stomachache,බඩ රිදීම | බඩේ කැක්කුම
stomachic,ආමාශය පිළිබඳ වූ
stomata,පූටිකා
stomates,පූටිකා
stomatitis,මුඛදාහය
stomium,මුඛය
stomp,ජෑස් සංගීතය | නැටුමක්
stone,අශ්මරී | ගල | ගල් ගසනවා | ගලින් තැනූ | ගලින් තැනූ දේ | පාෂාණය | මැණික් ගල | ශිලා | ශිලාව | ශෛලමය | සල | ස්ටෝනය | සිලා
stone-cold,ඉතා ශීතල
stone-cutter,ගල් කපන්නා | ගල් වඩුවා
stone-mason,ගල් කපන්නා | ගල් වඩුවා
stone-ware,ඝන මැටි භාජන
stoned,සුරාවෙන් මත් වූ
stonehenge,ශිලාලම්බය | ස්ටෝන්හෙන්ජ්
stoneware,කාශ්ම
stoning,ගල් කුට්ටි | ගල් ලෑම
stony,කරුණාවක් නැති | ගල් සහිත | දැඩි
stood,හිටි
stooge,ආවතේව කාරයා | පන්දමා
stook,ගොයම් කරල | ගොයම් මිටි රාශිය
stool,ඇඳි නැති පුටුව | ඇඳි නැති බංකුව | කොලොම්බුව | පාපුටුව | පීඨිකාව | මල | මල පැහැරීම | ස්ටූලය
stoop,ඉදිරියට නැමීම | ඉදිරියට නැමෙනවා | එබෙනවා | කුදය | නතිය | නමනවා | යටත් වෙනවා | වක ගැසීම | වක ගැසෙනවා
stop,අවසාන වෙනවා | අවහිර කරනවා | අහුරනවා | කමසිරියාව | කමිස්සිරියාව | තහනම | තොරතෝංවය | නතර කරනවා | නවතනවා | නවත්වනවා | නවතිනවා | නවතුව | නවාතැන | නැවතීම | නැවතීමේ ලකුණ | නැවතුම | නැවතුම්පොළ | නැවතෙනවා | නැවැතුම | නිවෘත්තිය | බිම හිර කට්ටය | වළක්වනවා | විරාමය | සිටිනවා | හිටිනවා
stop-clock,විරාම ඔරලෝසුව
stop-cock,විරාම කරාමය
stop-press,අපර මුද්‍රණය | පසු මුද්‍රණය
stop-watch,විරාම ඔරලෝසුව | විරාම ඝටිකාව | විරාම ඝටිකාව
stope,රුහකය
stoper,තෝපරය
stoplight,නැවතුම් පහන
stoppage,අවහිරය | නැවතිල්ල | සිටීම
stopped,අල්
stopper,අඩය | ඇබය | නවතනය | මූඩිය | වාරකය
stoppering,ඇබ ගැසීම | ඇබ ලෑම
stopping,දත් කුහරය පිරවීමට යොදන ද්‍රව්‍යය | නැවතුම් | වැසුම් ද්‍රව්‍යය
stopple,ඇබය
storage,ආචය | ආචයනය | ගබඩා | ගබඩා කිරීම | ගබඩා ගාස්තුව | තැන්පත් කිරීම | දෑපන්න කුලිය | රැඳුම | සංචය | සංචායකය | සංචායකයය | සංවත | සඤ්චය
storage-battery,සංචායකා බැටරිය
storax,ශිලාජ | ශිලාජතු
store,අහුරා තබනවා | ආචය | ආරක්ෂා පිණිස තබනවා | ඉස්ටෝරුව | කොටාරය | කොටුව | කෝෂ්ඨය | කෝෂ්ඨාගාරය | ගබඩා කරනවා | ගබඩාව | ගුදම් | තැන්පත් කරනවා | පත්තායම | පුරවනවා | රාශිය | වෙළඳසැල | සපයනවා | සම්හාරය
store-keeper,ගබඩා පාලක | ගබඩා භාරකරු
store-room,ගබඩාකාමරය
storekeeper,ගබඩා භාරකරු
storekeeping,ගබඩා භාරකාරත්වය
stores,ඉස්ටෝරුව | උපකරණ | ගබඩා | ගබඩාව | ගුදම | දෑපන්න | බඩුබාහිරාදිය | විශාල වෙළඳසැල
storey,උඩුමහල් | ගල් වැනි | තට්ටුව | මාල | මාලේ
storeyed,භූමක
storied,ඓතිහාසික | කථාවස්තූන්හි ප්‍රසිද්ධ
stork,කොකා
storm,කැළඹුම | කුණාටුව | ගෝරනාඩු වෙනවා | ගෝළු ගන්නවා | බලවත් සේ පහරදීම | බලාත්කාරයෙන් ඇතුළු වෙනවා | මහත් කබලය | මහත් කැළඹීම | මහත් කෝපය | මහා ඝෝෂාව | හදිසි කෝපය
storm-centre,කලබලයට මුල් වූ ස්ථානය | කුණාටු කේන්ද්‍රය
storm-cloud,අවදානම් සහිත සිදුවීම
stormer,ස්ටෝමර්
stormy,කුණාටු සහිත | කෝලාහල සහිත
story,කතන්තදරය | කතන්දරය | කතාන්තරය | කතාව | කථා වස්තුව | කථාන්තරය | කථාව | කථාවස්තුව | ප්‍රවෘත්තිය | බොරුව | වත | වත් | විත්ති | වෘත්තාන්තය
stoss,ග්ලැසියර මූණත
stosseite,ග්ලැසියර මූණත
stoup,ආසිරි පැන් බඳුන | ලොකු පැන් භාජනය | ශරාව
stout,කළු බීර වර්ගයක් | ඝන | තරබාරු | නිර්භීත | ශක්තිමත් | ස්ථූල
stout-hearted,නිර්භීත
stoutly,නිර්භීත ලෙස | ස්ථීරවම
stoutness,නිර්භීතකම
stove,උදුන | ගිනි උදුන | පෝරණුව | ලිප
stove-pipe,දුම් නලය
stow,අස්කොට තැන්පත් කරනවා | අහුරනවා | අහුරා තබනවා | ගබඩා කරනවා | පියෙස
stow-away,නැවේ හැංගී යන්නා
stowage,ඇහුරුම | තබාගැනීම | බඬු ඇහුරුම් කුලිය
stowaway,නෞනිලීනයා
stowed,ඇහුරූ
strabismus,වපර බැල්ම
straddle,දෙගිඩියාවෙන් සිටිනවා | මධ්‍යස්ථව සිටිනවා
strafe,බරපතල ලෙස දඬුවම් කරනවා
straggle,ඉබාගාතේ යනවා | දඩාවතේ යනවා
straggler,මංමුළාව යන තැනැත්තා
straggling,අතරමං වීම
straggly,අශෝභන ලෙස විසිරීගිය
straight,අකුටිල | අවංක | ඇද නැති | ඉජු | ඉදු | උදු | එක එල්ලේ | එල්ල | එල්ලේ | එවක | කෙළින් | කෙළින් පිහිටි | කෙළින්ම | නොවරදින | වහාම | සරල | සිරස් | සීරු | සෘජු
straight-eight,ඉදු අට
straight-line,සරල රේඛාව
straight-receiver,සෘජු ආදායකය
straighten,ඇද අරිනවා | ඉදියුම් කරනවා | කෙළින් කරනවා | දිගහරිනවා | හරිගස්සනවා
straightening,දිගහරිනවා
straights,සෘජු අංශ
strain,අධික බර | අධික ලෙස අදිනවා | අමාරුවේ හෙළනවා | උළුක්කුව | ගතිය | ගරනවා | තටමනවා | තතනනවා | තදකොට අදිනවා | තදකොට ඇදීම | තනුව | නියැළෙනවා | පරහනවා | ප්‍රාතතිය | පීඩා කරනවා | පීඩාව | පෙරනවා | පෙරහනවා | බේරනවා | බොහෝ සේ වෙහෙසෙනවා | මහත් පීඩාව | මහත් වෙහෙස | මාදිලිය | මාදිළිය | වගකීම | වික්‍රයාව | වික්‍රියා | වික්‍රියාව | විඩාව | වෙහෙසවනවා | වෙහෙසීමෙන් දුර්වල කරනවා | වෙහෙසීමෙන් දුර්වල වෙනවා | ශෛලිය | ස්වභාවය
strained,ඇදුණු | පීඩනයට ලක්වූ
strainer,ගොට්ට | ගොටුව | පරහන | පෙරහන | පෙරහන්කඩ | මටුල්ල | සල්ලඩිය
straining,වික්‍රියනය
strains,ගීත ශබ්දය
strait,ඉතා අමාරු අවස්ථාව | තද | පටු | බලවත් නීතිරීති ඇති | සංකටය | සමුද්‍ර සන්ධය | සමුද්‍ර සන්ධිය | සමුද්‍රසන්ධිය
strait-jacket,ඉතා තද හැට්ටය
strait-laced,දැඩි
straiten,අමාරුවට පත් කරනවා | අවහිර කරනවා | සීමා කරනවා
straitened,දුෂ්කර
strake,දෙණ
stramineous,පිදුරුවන්
stramonium,ස්ට්‍රමෝනියම්
strand,ඉවුර | කඹ පොට | පටය | පොට | වෙරළ | වෙරළට වද්දවනවා | වෙළුව
stranded,කිසි පිළිසරණක් නැති
stranding,බිම්හිටියාව
strange,අපූර්ව | අමුතු | අරුම | කුලෑටි | නාඳුනන | නොපුරුදු | පරදේශීය | පුදුම | පුදුමාකාර
strangeness,අපූරුකම
stranger,අමුත්තා | ආගන්තුකයා | කඩප්පුලියා | නාඳුනන තැනැත්තා | පරදේශිකයා | බැහැරියා
strangle,අවහිර කරනවා | බලෙන් මැඩපවත්වනවා | බෙල්ල මිරිකා මරනවා | හුස්ම හිර කරනවා
strangler,වාවරණය
strangulate,හිර කරනවා
strangulation,අඩස්සිය | උස්මුරුත්තාව | උස්මුරුතාව | පරිඝය | බෙල්ල මිරිකා මැරීම | ශ්වාසරෝධය | හිර කිරීම
strangultion,අඩස්සිය
strangury,මුත්‍රකෘච්ඡාව | මූත්‍ර අඩස්සිය
strap,තහඩුව | තළනවා | පට | පටිය | පටියෙන් බඳිනවා | පටියෙන් වෙළනවා | පතුර | මදු
strap-hanger,පටියක එල්ලී ගමන් කරන්නා
strapping,පටියෙන් තැළීම | හැඩි දැඩි | හොඳට වැඩුණු
strata,ප්‍රස්තර | ස්තර | ස්තරය
stratagem,උපක්‍රමය | කූට උපාය
strategic,උපාය සම්බන්ධී | යුද්ධෝපාය පිළිබඳ වූ
strategical,උපාය සම්බන්ධී | යුද්ධෝපාය පිළිබඳ වූ
strategist,උපාය දක්ෂයා | සේනා හසුරුවීමෙහි සමර්ථයා
strategy,උපයඥානය | උපාය | උපායමාර්ගය | දක්ෂ උපාය | මූලෝපාය | ව්‍යහ ශාස්ත්‍රය | සටන් කිරීමේ ශාස්ත්‍රය | සමරවිද්‍යාව
strath,ස්කොට්ලන්තයේ විශාල සානුව
strathspey,ස්කොට්ලන්තයේ නැටුම් විශේෂයක්
stratification,ස්තර සෑදීම | ස්තරණය | ස්තරායනය | ස්තරීභවනය | ස්තරීභූතවීම
stratified,ස්තරීභූත | ස්තෘත | ස්‍රීභූත
stratiform,ස්තරාකාර
stratify,සවි වෙනවා
stratigraphy,භූස්තරය පිළිබඳ අධ්‍යයනය
strato-cumulus,ස්තර කැටි වලාකුළ
stratocracy,හමුදාපාලිතය
stratometer,ස්තරත්වමානය
stratosphere,අපරිවර්තී ගෝලය | ස්තර ගෝලය | ස්තරගෝලය
stratum,තට්ටුව | භූමිතට්ටුව | ස්තරය
stratus,සරසට වැටුණු වලා පටලය
straw,නොවටිනා දේ | පලාල | පිදුරු | පිදුරු මැඩුවම | පිදුරුගහ
strawberry,ස්ට්‍රෝබෙරි | ස්ටෝබෙරි
stray,අතරමං වූ දරුවා | අතරින් පතර පිහිටි | අයාලෙ | කලාතුරකින් ඇතිවන | කලාතුරකින් පැමිණෙන | දඩාවතේ ඇවිදින සතා | දඩාවතේ යනවා | මංමුළා වී යනවා | වැරදී ගිය
streak,ඉර | ඉරි ගසනවා | ඉරි යොදනවා | රේඛාව | ලේඛාව | වයිරම | වයිරම් දමනවා | වයිරම් වැටෙනවා
streaky,ඉරි වැටුණු | වයිරම් වැටුණු | ශබල
stream,ඇළ | ඔය | කන්දර | කුඩා දියපාර | ගංගාව | ගලනවා | ගලා එනවා | ගලා බසිනවා | ගලා යනවා | දියපාර | දොළ | නැකැ යන සමූහය | ප්‍රවාහය | මොලපුව | වැගිරෙනවා | ශ්‍රෝත | ශ්‍රෝතස් | සගය | සඝය | හොය
stream-enterer,සෝතාපත්ති | සෝවාන්
streamer,දහරුව | ධජය | පතාකය | රශ්මි කදම්බය
streamflow,ප්‍රවාහ ගැලීම
streaming,ප්‍රවාහනය
streamlet,කඳුර | කුඩා ඇළ | දියත්ත | හෝකඳුර
streamline,අනාකූල | අනුකූලන කරනවා | නවකරණය
streamlined,අනාකුලිත | අනාකූල රේඛිත
streamlines,අනාකුල රේඛා | ධාරා රේඛා
streamlining,අනාකූලනය | අනුකූලනය
streamtube,දියාර නලය
street,කඩවීදිය | වීථිය | වීදිය | වෙය | වේ
strength,ඔද | කායබලය | ප්‍රබලතාව | පුළුවන්කම | බල | බලය | ශක්තිය | ස්ථාම | සැරය | සේනාවෙහි බළසෙනඟ | හයිය
strengthen,ධෛර්ය දෙනවා | වඩා ශක්තිමත් කරනවා
strenuous,උද්‍යුෝගී | පරිශ්‍රමයෙන් කරනු ලබන | පරිශ්‍රමයෙන් කළයුතු
strenuousness,බලගතුකම
streptococcus,බැක්ටීරියාවක්
streptomycin,ප්‍රතිජීවකයක් | ස්ට්‍රෙප්ටොමයිසින්
stress,අයාසය | අවධාරණය | ආතතිය | ක්ලමථය | ප්‍රත්‍යා බලය | ප්‍රත්‍යාබලය | ප්‍රාතතිය | පීඩාව | බර | බර කොට කියනවා | බර දැරුම | බරපතළකම | බල කිරීම | වෙහෙස
stresscoat,ප්‍රත්‍යාබල ආලිප්තය
stressful,පීඩාව ඇති කරන
stretch,අතුරනවා | අදිනවා | ඇදීම | ඇදෙනවා | උත්සාහය | කාල ප්‍රමාණය | දික් වෙනවා | දුර ප්‍රමාණය | ප්‍රදේශය | පැතිර පවතිනවා | පැතිරෙනවා | බාවනවා | බුරුල | බුරුල් කිරීම | වැඩි කරනවා | වැඩිකොට දැක්වීම | විහිදෙනවා
stretcher,අවස්තාරය | ගිලන් මැස්ස | දික් කඩ | දිගදිනය | බඩගල | බඳ කඩ | ලෙඩුන් ගෙනයන මැස්ස
stretching,දිගැදීම
stretchy,ඇදෙනසුලු
strew,අතුරනවා | ඉහිනවා | විසුරුවනවා
strewed,ඉස්සා
strewn,අතුළ | ඉසිනලද | විසුරුවන ලද | විසුළ
striae,විලේඛ | විලේඛය
striate,විලේඛිත
striated,රේඛා සහිත
striation,වයිරම | විලේඛය
striations,විලේඛ
stricken,දුහ්ඛිත | පහර ලැබූ | පීඩිත
strickle,හැඩමල
strickling,මලෙන් හැඩ ලෑම
strict,ඉතා නිවැරදි | තදබද | දැඩි | නියම | නියමයන් එසේම පිළිපදින | නොලිහිල් | බුරුලක් නැති | යථාර්ථ | විධිවත් | සියුම්
striction,සභිරය | සහිරය
strictly,නිතිමතින්
strictness,එම ලක්ෂණය
stricture,අඩස්සිය | බරපතල චෝදනාව | හිරවීම
stride,ඈතින් පය තබමින් යනවා | ඉදිරියට ගමන් කිරීම | දිගට තබනලද අඩිය | දියුණුව
strident,අමිහිරි | කර්කශ | කර්ණකටුක
stridor,ගුගුරුව
strife,ආරාවුල | කලහය | කලිකලහ | විරෝධය | සටන
strigose,දෘඩරෝමී
strike,අනිනවා | ගටනවා | ගසනවා | ගහනවා | තිරශ්වකාව | පහර දෙනවා | වද්දනවා | වදිනවා | වර්ජනය | වර්ජනය කරනවා | වාත්තු කරනවා | වැඩ අත්හරිනවා | වැඩ නවත්වනවා | වැඩ වර්ජනය | වැඩවර්ජනය | වැදෙනවා | සිතට වැදෙනවා | හැඟෙනවා
striker,කුළුගෙඩිකරුවා | වර්ජකයා | හැඩකැටය
striking,ආඝාත | ගැටැවීම | ගැලවීම | ප්‍රහාරක | මනහර | සිත් ඇදගන්නා
strine,ඕස්ට්‍රේලියානු ඉංග්‍රීසි
string,අමුණනවා | එක්‍රුස් කරනවා | කෙන්ද | කෙඳි යොදනවා | ඝන නූල | තද කරනවා | තන්ත්‍රිය | තන්තු යොදනවා | තන්තුව | දුනුදිය | දුනුදිය යොදනවා | පට | පටිය | බඳිනවා | ලණු | ලණුයොදනවා | ලනුව | වැල | ස්නායුව
stringency,තදබල ගතිය
stringent,අනුල්ලංඝනීය | තදබල | දැඩි | බරපතළ | බුරුලක් නැති | රූක්ෂ | සැර
stringer,අනියම් පුවත්පත් වාර්තාකරු | හූබඳ
stringy,කෙඳි සහිත
striolae,ක්ෂුද්‍රරේඛා
striolate,ක්ෂුද්‍රරේඛා සහිත
strip,ඉරුව | ඉවත් කරනවා | ගලවනවා | ගලවා දමනවා | තීරුව | නිර්වස්ත්‍ර කරනවා | නිර්වස්ත්‍ර වෙනවා | පටිය | පටු තීරය | පැහැරගන්නවා | රොද | වසාව | සුලස
stripe,ඉර | කසපහර | රේඛාව | වයිරම
striped,ඉරි වැටුණු | විලිබිත
stripes,ඉරි
stripling,කොල්ලා | ගැටයා
stripped,පැහැර ගත්තා
stripping,කොටස්වලට ගැලවීම | ගැලවීම | නග්න කිරීම | පෙහෙළි කිරීම | ලී පටි ලෑම
striptease,ඇඳුම් ලිහන රඟපෑම
strive,උත්සාහ කරනවා | උත්සාහ දරනවා | තරඟ කරනවා | දඟලනවා | මහත් පරිශ්‍රම දරනවා | වෙහෙස වෙනවා | සටන් කරනවා
striven,මහත් පරිශ්‍රම දරනලද
strobe,පරිභ්‍රමණමානය
strobi,සංකේතුව
strobil,සංකේතුව
strobilaceous,සංකේතුක
strobilate,සංකේතුක
strobiliferous,සංකේතුධර
strobilus,සංකේතුව
stroboscope,භ්‍රමේක්ෂතැටිය | භ්‍රමේක්ෂය
stroboscopic,භ්‍රමේක්ෂ
strode,දුරින් පය තබා ගිය
stroke,අතගෑම | ආඝාතය | ක්‍රියාව | නමය වැදුණු වහාම | පහර | පහර ගැසීම | බල පහර | යමක ක්‍රමික පැද්දීම | වාරය | වැදීම | ස්ඵාර | සෙමින් අතගානවා | හදිසි ආබාධය | හබල් පාර
stroll,විවේකව ගමන් කිරීම | සක්මන | සක්මන් කරනවා | සෙමින් ඇවිදිනවා
stroller,සක්මන් කරන්නා
stroma,පංජරය
strong,අයෝමය | දැඩි | ප්‍රගල්භ | ප්‍රබල | බලගතු | බලවත් | බහල | මාංසල | වේගවත් | ශක්තිමත් | සනීපෙන් සිටින | සවි | සවිමත් | ස්ථීර | සැර
strong-minded,අධිෂ්ඨාන ශක්තිය ඇති
stronghold,බල කොටුව
strontianite,ස්ට්‍රොන්ටියනයිට්
strontium,ලෝහමය මූලද්‍රව්‍යයක් | ස්ට්‍රොන්ටියම්
strop,තැළිසම | පිහි මදින පටිය | පිහි මදින හම්පටියෙ අතුල්ලා දැලිපිහි මුවහත් කරනව
strophanthin,ස්ට්‍රොපැන්තින්
strophanthine,ස්ට්‍රොපැන්තීන්
strophanthus,ස්ට්‍රොපැන්තස්
strophiole,බීජචෝලය
strophoid,කුංවතාභය
stropped,මුවහත් කෙරුවා
stroppy,ඉක්මනින් කෝප වන
strove,යත්න දැරුවා
struck,පහර දුන්නා
structural,ගොඩනැඟිලි ආදිය පිළිබඳ | නිර්මාණ සටහන | ව්‍යහ | ව්‍යහාත්මක
structuralism,ව්‍යහවාදය | ව්‍යහවාදය | සංස්ථිතිවාදය
structuralists,ව්‍යහවාදීන්
structure,අතිව්‍යාප්ත ව්‍යහය | අවශ්‍ය කොටස් | ආකෘතිය | ගොඩනැඟිල්ල | නිර්මාණය | නිර්මිතිය | රචනාව | වට්ටුව | ව්‍යහය | ව්‍යහය | වියුහය | සංස්ථානය | සංස්ථිතිය | සැකිල්ල | සැලැස්ම | හැටුම
struggle,අරගලය | දැඟලීම | දුෂ්කරතාව | පෙරළිය | බලවත් පරිශ්‍රමය | බොහෝ සේ වෙහෙසෙනවා | වෙහෙස | සටන | සටන් කරනවා | හටන
strum,නීරස ලෙස වාදනය කරනවා
strumpet,වේශ්‍යාව
strung,අමුණනලද
strut,අහංකාරයෙන් ඇවිදිනවා | උඩඟු ලෙස ඇවිදිනවා | කරුව | කාප්ප අත්ත | කාප්ප බලය | කාප්පය | කුරුපාව | මුක්කුව
strutted,උඩඟු ලෙස ඇවිද්දා
strychine,ස්ට්‍රිච්නින්
strychnin,ස්ට්‍රික්නින්
strychnine,දිවි කඳුරු සාරය
stting,දෂ්ට කරනවා
stub,අක්කඩ | කොටේ | මුලින් උදුරා දමනවා
